603444.SH,330785700.0,"[181.26, 181.27, 181.4, 0.0, 0.0]","[1, 1, 4, 0, 0]","[181.07, 181.06, 181.0, 0.0, 0.0]","[2, 2, 3, 0, 0]",191.0,182.2,181.20000000000002,0.0,180.8,182.69,13,1773533,0.0,0,20240202 13:37:18,17735
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330785700.0,"[181.26, 181.27, 181.4, 0.0, 0.0]","[1, 1, 4, 0, 0]","[181.07, 181.06, 181.0, 0.0, 0.0]","[2, 2, 3, 0, 0]",191.0,182.2,181.20000000000002,0.0,180.8,182.69,13,1773533,0.0,0,20240202 13:37:18,17735
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330858200.0,"[181.32, 181.4, 181.41, 0.0, 0.0]","[5, 4, 1, 0, 0]","[181.06, 181.0, 180.96, 0.0, 0.0]","[2, 3, 1, 0, 0]",191.0,182.2,181.27,0.0,180.8,182.69,13,1773933,0.0,0,20240202 13:37:21,17739
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330858200.0,"[181.32, 181.4, 181.41, 0.0, 0.0]","[5, 4, 1, 0, 0]","[181.06, 181.0, 180.96, 0.0, 0.0]","[2, 3, 1, 0, 0]",191.0,182.2,181.27,0.0,180.8,182.69,13,1773933,0.0,0,20240202 13:37:21,17739
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330858200.0,"[181.27, 181.3, 181.32, 0.0, 0.0]","[2, 1, 5, 0, 0]","[181.07, 181.06, 181.02, 0.0, 0.0]","[1, 2, 1, 0, 0]",191.0,182.2,181.27,0.0,180.8,182.69,13,1773933,0.0,0,20240202 13:37:24,17739
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330858200.0,"[181.27, 181.3, 181.32, 0.0, 0.0]","[2, 1, 5, 0, 0]","[181.07, 181.06, 181.02, 0.0, 0.0]","[1, 2, 1, 0, 0]",191.0,182.2,181.27,0.0,180.8,182.69,13,1773933,0.0,0,20240202 13:37:24,17739
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330930700.0,"[181.3, 181.32, 181.4, 0.0, 0.0]","[1, 5, 4, 0, 0]","[181.27, 181.09, 181.06, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.23,0.0,180.8,182.69,13,1774333,0.0,0,20240202 13:37:30,17743
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330930700.0,"[181.3, 181.32, 181.4, 0.0, 0.0]","[1, 5, 4, 0, 0]","[181.27, 181.09, 181.06, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.23,0.0,180.8,182.69,13,1774333,0.0,0,20240202 13:37:30,17743
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330930700.0,"[181.3, 181.32, 181.4, 0.0, 0.0]","[1, 5, 4, 0, 0]","[181.27, 181.09, 181.06, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.23,0.0,180.8,182.69,13,1774333,0.0,0,20240202 13:37:30,17743
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330930700.0,"[181.3, 181.32, 181.4, 0.0, 0.0]","[1, 5, 4, 0, 0]","[181.27, 181.09, 181.06, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.23,0.0,180.8,182.69,13,1774333,0.0,0,20240202 13:37:30,17743
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330930700.0,"[181.29, 181.3, 181.32, 0.0, 0.0]","[3, 1, 5, 0, 0]","[181.27, 181.09, 181.06, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.23,0.0,180.8,182.69,13,1774333,0.0,0,20240202 13:37:33,17743
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330930700.0,"[181.29, 181.3, 181.32, 0.0, 0.0]","[3, 1, 5, 0, 0]","[181.27, 181.09, 181.06, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.23,0.0,180.8,182.69,13,1774333,0.0,0,20240202 13:37:33,17743
