settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:27
volume,229
,603444.SH
amount,4601200.0
askPrice,"[185.0, 185.39000000000001, 185.45000000000002, 0.0, 0.0]"
askVol,"[3, 1, 10, 0, 0]"
bidPrice,"[184.99, 184.98, 184.91, 0.0, 0.0]"
bidVol,"[9, 7, 2, 0, 0]"
high,185.0
lastClose,182.2
lastPrice,185.0
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,25032
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:30
volume,250
,603444.SH
amount,5286400.0
askPrice,"[185.5, 185.58, 185.6, 0.0, 0.0]"
askVol,"[2, 1, 3, 0, 0]"
bidPrice,"[185.39000000000001, 185.05, 185.0, 0.0, 0.0]"
bidVol,"[4, 2, 33, 0, 0]"
high,185.48
lastClose,182.2
lastPrice,185.0
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,28732
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:33
volume,287
,603444.SH
amount,5564700.0
askPrice,"[185.66, 185.69, 185.8, 0.0, 0.0]"
askVol,"[1, 1, 1, 0, 0]"
bidPrice,"[185.52, 185.5, 185.39000000000001, 0.0, 0.0]"
bidVol,"[7, 23, 1, 0, 0]"
high,185.63
lastClose,182.2
lastPrice,185.5
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,30232
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:36
volume,302
,603444.SH
amount,5991700.0
askPrice,"[185.87, 185.88, 185.95000000000002, 0.0, 0.0]"
askVol,"[4, 14, 10, 0, 0]"
bidPrice,"[185.53, 185.52, 185.5, 0.0, 0.0]"
bidVol,"[1, 2, 23, 0, 0]"
high,185.87
lastClose,182.2
lastPrice,185.87
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,32532
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:39
volume,325
,603444.SH
amount,6363400.0
askPrice,"[185.88, 185.95000000000002, 186.0, 0.0, 0.0]"
askVol,"[3, 10, 17, 0, 0]"
bidPrice,"[185.84, 185.61, 185.58, 0.0, 0.0]"
bidVol,"[1, 2, 1, 0, 0]"
high,185.88
lastClose,182.2
lastPrice,185.61
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,34532
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:42
volume,345
,603444.SH
amount,6567900.0
askPrice,"[185.95000000000002, 186.0, 186.20000000000002, 0.0, 0.0]"
askVol,"[7, 18, 2, 0, 0]"
bidPrice,"[185.92000000000002, 185.89000000000001, 185.88, 0.0, 0.0]"
bidVol,"[2, 12, 18, 0, 0]"
high,185.95000000000002
lastClose,182.2
lastPrice,185.92000000000002
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,35632
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:45
volume,356
,603444.SH
amount,7386200.0
askPrice,"[186.21, 186.31, 186.34, 0.0, 0.0]"
askVol,"[1, 5, 2, 0, 0]"
bidPrice,"[186.0, 185.99, 185.98, 0.0, 0.0]"
bidVol,"[1, 5, 3, 0, 0]"
high,186.20000000000002
lastClose,182.2
lastPrice,186.0
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,40032
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:48
volume,400
,603444.SH
amount,8112400.0
askPrice,"[186.5, 186.59, 186.66, 0.0, 0.0]"
askVol,"[2, 2, 3, 0, 0]"
bidPrice,"[185.97, 185.96, 185.95000000000002, 0.0, 0.0]"
bidVol,"[8, 2, 1, 0, 0]"
high,186.46
lastClose,182.2
lastPrice,185.98
lastSettlementPrice,0.0
low,182.69
